,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relleno,relleno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,XTRA  24 DICIEMBRE,XTRA PACORA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,MINISUPER EL VETERANO,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,MINISUPER LAM-SAN FRANCISCO,M/S DALLYS - BOCA LA CAJA,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,M/S CABALLEROS LOO,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,,
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,6.55,6.55,,,,,6.55,6.45,,,,6.43,,,,6.55,6.55,,,6.55,6.55,,6.26,,,6.55,6.55,,,6.53,5.63,6.13,,6.49,,,6.49,6.49,6.55,,,6.47,6.47,,6.55,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31,6.31,6.55,,,,,,,,,,,
Bistec de Cinta *,1 Kilogramos,5.62,,5.62,5.62,5.07,5.62,5.62,,5.6,5.62,5.62,,,5.62,4.93,4.93,5.07,5.62,,,5.62,5.62,5.07,5.62,,5.35,5.39,5.07,5.07,5.62,,5.62,5.46,5.31,5.33,5.62,5.25,,,5.62,5.62,,5.62,5.62,5.06,5.06,5.57,5.07,,,,,,5.62,,,,,,,,,,,,,,,,,,,,,5.4,,,5.4,5.4,5.62,,5.62,5.62,,,,,5.4,,,
Carne Molida de Primera *,1 Kilogramos,,4.45,4.74,4.74,4.45,4.74,4.74,4.74,,,,4.74,4.74,4.74,4.13,4.13,,4.74,4.74,,4.74,4.74,4.45,4.74,4.74,4.58,,,4.45,4.74,4.74,4.74,4.72,,4.56,,,,4.74,,,,4.74,4.74,4.71,4.71,4.69,4.45,,,,,,4.74,,,,,,,,,4.74,,,,,4.74,,,,,,,4.74,,,4.29,4.38,3.85,,,,,,,,,,,
Carne para Sopa (Costilla) *,1 Kilogramos,,,,,,4.45,,,,,,,,,,,5.29,4.45,4.45,5.29,4.45,4.7,,,4.45,4.65,4.75,,,4.45,4.45,4.45,,4.42,4.43,,,,,4.65,4.45,,,,,,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,4.6,,,,,,,,,,,,
Puerco Liso *,1 Kilogramos,7.35,6.15,13.48,13.48,,,,,4.37,6.35,6.15,,,,6.17,6.12,,,,,,,,6.35,6.35,5.43,5.45,,,,,,,,,5.95,5.35,,6.35,5.49,5.49,,6.35,,,,5.38,,,,,,,7.72,,,7.17,,7.72,,7.17,,7.72,,7.72,6.61,,,,,7.17,7.72,,5.51,5.84,,,5.39,5.48,5.62,,6.39,6.61,6.06,,,,7.17,,,
Pulpa Negra *,1 Kilogramos,,6.69,,13.18,6.69,7.69,7.69,,6.92,7.75,7.75,7.69,,7.69,6.66,6.66,,7.69,,,7.59,8.89,6.69,7.69,7.69,6.92,7.85,6.45,,7.69,,7.69,,6.92,7.62,7.85,7.75,6.69,,7.75,,6.69,7.69,7.69,6.92,6.92,7.05,6.69,,,,,,8.49,,,8.82,,8.82,8.71,7.72,,8.6,,8.82,8.27,,7.72,,8.38,8.16,,8.49,8.27,8.38,,,7.15,7.02,8.26,8.27,8.6,7.83,8.49,,,,8.27,,,
Muslo de Pollo con Piel *,1 Kilogramos,3.83,4.74,4.49,4.49,3.99,3.59,3.59,3.59,3.57,,3.55,3.59,3.58,3.59,3.57,3.53,,3.59,3.59,3.99,3.59,3.83,3.99,3.59,3.59,3.49,3.59,3.99,,3.59,3.59,3.59,3.57,,3.47,3.49,3.65,3.99,4.15,3.59,3.65,3.99,3.59,3.59,3.56,3.56,3.68,3.99,3.59,,,,,,,,4.41,,3.86,3.86,,,,,,,,,,,,,,,,,,3.28,3.28,3.41,4.07,3.86,,,,,,,3.86,,
Pechuga de Pollo con Piel *,1 Kilogramos,5.36,4.59,4.25,4.25,3.08,3.59,3.59,3.59,3.07,3.4,3.39,,3.59,3.59,2.97,2.97,2.98,3.59,3.59,3.08,3.59,3.95,3.08,3.59,4.15,3.03,3.19,,,3.59,3.59,3.59,2.96,2.97,2.92,3.49,3.29,3.08,3.59,,3.39,3.08,3.59,3.59,2.97,2.97,2.99,3.08,3.59,,,,,3.86,,,4.08,,3.86,3.86,3.86,,,,,,,,,,3.76,,,3.31,,,,2.75,2.75,3.3,3.85,3.31,3.31,3.09,,,,3.31,2.98,,
Pollo Entero s/plumas *,1 Kilogramos,2.79,2.45,2.73,2.73,2.1,2.49,2.49,2.49,2.08,2.29,2.29,2.49,2.49,2.49,2.08,2.08,2.45,2.49,2.49,2.1,2.49,2.62,2.45,2.49,2.49,2.19,2.19,2.1,2.1,2.49,2.49,2.49,2.43,2.17,2.17,2.35,2.25,2.1,2.49,2.19,2.19,2.1,2.49,2.49,2.17,2.17,2.19,2.1,2.49,,,,,2.6,2.6,,2.6,,2.2,1.96,2.2,,2.43,1.87,1.87,2.6,,2.6,,2.03,2.6,2.6,2.6,2.2,1.83,2.18,,1.72,1.83,2.6,2.6,2.2,2.07,2.2,,1.87,2.2,2.2,2.2,,
Pescado Corvina *,1 Kilogramos,,,10.75,10.75,,,,,8.35,6.75,,,,,,,,,,,,,,8.39,,,6.75,,,,,,5.49,5.73,5.97,,,,,,6.75,,,,6.73,6.73,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.7,0.69,0.77,0.77,0.45,0.41,0.41,0.41,0.39,0.69,0.65,0.41,0.41,0.41,0.39,0.39,0.59,0.41,,0.69,0.4,0.65,0.69,0.41,0.4,0.38,0.65,,0.69,0.41,0.41,0.42,0.43,0.4,0.36,0.65,0.65,0.65,0.74,0.65,0.65,0.65,0.75,0.65,0.48,0.48,0.39,0.69,0.41,0.85,0.85,0.9,0.95,0.85,0.55,0.75,0.85,0.78,0.85,0.55,0.5,0.7,0.75,0.75,0.75,0.55,0.75,0.85,0.6,0.75,0.65,0.5,0.75,0.55,,0.75,,0.45,0.45,0.55,,0.8,0.75,0.5,0.85,,0.75,0.55,0.85,,
Tuna en Agua *,142 Gramos,1.15,1.65,1.7,1.7,1.06,1.05,1.05,1.05,1.23,1.07,,1.05,1.05,1.05,,1.23,,,1.25,1.75,1.05,1.52,1.75,1.05,1.05,1.55,1.65,,,1.05,1.05,1.25,1.23,1.22,1.13,1.59,1.55,1.69,1.25,1.09,1.09,1.25,1.2,1.2,1.06,1.06,1.56,1.75,1.05,1.75,,,1.85,,,,1.65,,1.6,,,,1.65,,,,,,,1.65,,,,1.65,1.45,,,1.15,1.12,1.55,1.25,,,,,1.75,,,,,
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,7.3,7.39,,,7.39,5.49,5.49,5.44,7.34,7.5,7.5,7.47,7.47,7.47,7.43,7.43,7.39,7.47,,7.39,,7.3,7.61,5.44,5.44,7.34,7.5,7.39,7.39,7.47,5.49,7.47,7.43,5.29,5.69,7.5,7.5,7.61,,,,,,5.55,,,7.32,7.39,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,8.58,8.4,8.4,8.58,4.96,4.96,4.96,5.38,,8.38,4.96,,4.96,,,,,,8.58,,,8.58,4.96,8.16,,8.38,8.58,8.58,,8.36,8.36,,,5.38,,,,4.96,,,,5.69,,,,8.09,8.38,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.17,3.42,7.67,7.67,3.42,3.42,4.63,3.42,3.42,3.42,3.42,3.42,4.63,3.42,3.37,4.54,3.42,3.42,,3.42,3.42,4.85,3.42,3.42,4.63,3.42,3.42,3.42,4.83,3.42,3.42,3.42,3.42,3.37,3.35,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,,3.33,3.42,3.42,3.42,,,,5.18,,,,,,,,,,,,,,,,,,,7.39,,,,,4.3,3.42,3.42,,,,,,,,,,,,
Arroz de Primera *,1 Kilogramos,0.88,0.88,0.88,0.88,0.87,0.88,0.88,0.88,0.85,0.88,0.88,0.88,0.88,0.88,0.84,0.85,0.87,0.88,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.87,0.87,0.88,0.88,0.88,0.86,0.84,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.87,0.88,0.88,0.85,0.85,0.88,0.87,0.88,,,,0.88,0.88,0.88,0.88,0.88,,,0.88,0.88,,,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,
Codito *,454 Gramos,0.89,0.89,0.89,0.89,0.65,0.76,0.76,0.76,0.74,0.83,0.87,0.76,0.76,0.76,0.81,0.85,0.85,0.76,0.76,0.82,0.76,0.82,0.65,0.76,0.76,0.77,0.75,0.85,0.82,0.76,0.76,0.76,0.71,0.75,0.73,0.84,0.85,0.75,0.76,,0.84,0.82,0.76,0.76,0.74,0.74,0.77,0.85,0.76,1,,1,0.85,1,0.85,0.9,0.95,0.98,0.85,0.85,0.85,1,0.85,1,0.85,0.85,0.85,0.85,1,1,0.9,0.9,0.85,1,0.95,1,0.75,,0.85,0.95,0.95,1,0.9,0.8,0.95,0.85,0.85,0.85,0.85,,
Crema  de Ma°z *,300 Gramos,0.9,0.65,0.63,0.63,0.65,0.6,0.65,0.6,0.59,,0.7,0.6,0.6,0.65,0.65,0.61,0.65,0.6,,0.65,0.6,0.64,0.65,0.6,0.6,0.6,0.6,0.65,,0.6,0.6,0.6,,0.58,0.59,0.6,0.6,,0.65,0.6,0.6,0.65,0.6,0.6,0.58,0.58,0.6,0.79,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.75,,,,,,,,,,,,
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,2.19,3.49,2.25,2.25,3.65,1.99,1.79,1.79,2.41,1.65,1.95,1.79,2.89,1.65,,2.18,2.15,1.79,1.79,2.15,1.79,3.05,1.69,1.79,1.79,2.67,2.95,1.85,2.15,1.79,2.95,1.79,2.18,,2.65,1.65,1.95,1.6,1.35,2.95,2.95,3.65,2.95,,2.47,2.47,1.98,3.13,1.79,,,,,,,,,,,,,,,2.5,,,,,,,,,,2.35,2.5,,2.35,,,,,,,,,,,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.59,0.59,0.58,0.59,0.59,0.58,0.58,0.58,0.57,0.57,0.57,0.54,0.58,0.58,0.52,0.57,0.59,0.59,,0.59,0.58,0.59,0.59,0.58,0.58,,0.59,0.59,0.59,0.58,0.58,0.58,0.57,0.44,0.57,0.55,0.55,0.59,0.58,0.55,0.55,0.59,0.59,0.58,0.53,0.53,,0.59,0.58,0.59,,0.59,,0.59,0.59,,0.59,0.59,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,,0.59,,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,,
Pan de Michita *,1 Kilogramos,,,,,2.69,,,2.02,,,,,,,,,,,,,,,2.69,2.02,,,,,,,,,,,,,,,,3.5,3.95,2.32,,,,,2.25,2.32,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.7,,,,,,,,,,,,
Pan Molde *,500 Gramos,0.91,0.92,0.92,0.92,0.92,0.92,0.92,,0.9,0.91,0.91,,,,0.89,0.89,,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.89,0.92,0.92,0.92,0.92,,0.92,0.9,0.84,0.87,0.92,0.91,0.92,,,0.91,,,0.92,0.8,0.8,0.89,0.92,,,,,0.92,,,,,0.92,,0.92,0.92,,,0.92,0.92,0.92,,,,,,0.92,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,0.92,,0.92,,,
Tortilla de Ma°z *,10 Unidades,1.25,1,1.45,1.45,0.99,1.15,1.15,1.15,1,1.1,1.1,1.05,1.15,1.15,1,1.13,,1.15,1.15,1.05,1.15,1.1,0.99,1.05,1.05,0.87,1.1,0.99,1.05,1.15,1.15,1.15,1,1,1.11,1.1,1.05,1.59,1.15,1.15,1.1,0.85,1.05,1.05,0.97,0.97,1.1,0.85,1.05,,1.15,,1.25,1,1,1,1,1,1.1,1,1,1.2,1.2,1,1,1,,1,1,1,1.25,1,1.1,1.1,1,1,1,,0.95,,1,1,0.95,1,1.25,1,1,1,1.1,,
Aj° Dulce y/o picoloro *,1 Kilogramos,3.66,2.45,3.32,5.34,2.42,2.2,2.2,2.2,2.26,2.49,2.4,,2.2,2.2,2.18,2.33,2.42,2.2,2.2,2.42,2.2,2,2.42,2.2,2.2,2.28,2.4,2.4,2.42,2.2,,,2.33,2.84,2.18,,2.4,2.42,2.2,2.4,2.4,2.42,2.2,2.2,2.18,2.18,2.67,2.42,,,3.31,,,,2.2,,3.31,,2.76,2.2,,,3.31,,3.31,2.76,,2.2,,3.09,3.31,,2.76,,2.76,,,,1.96,2.2,,2.2,,,,,,,,,
Ajo *,1 Kilogramos,2.6,4.37,3.3,3.3,4.39,,2.18,2.18,2.16,2.18,2.18,,2.18,2.18,,2.16,4.35,2.18,2.19,4.25,2.19,2.78,4.37,2.19,2.18,,2.18,4.25,4.97,2.19,2.19,2.62,,,2.19,2.18,2.18,4.25,,2.18,2.18,4.37,,2.18,2.16,2.16,,4.37,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,,3.31,,,,,,,,,,
Cebolla Amarilla *,1 Kilogramos,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.63,1.76,1.76,1.76,1.76,1.76,,1.63,1.75,1.76,1.76,1.75,1.76,1.76,1.76,1.76,1.76,1.7,1.76,1.75,1.75,1.76,1.76,1.76,1.63,1.43,1.68,1.76,1.76,1.76,1.76,,1.76,1.75,1.7,1.76,1.74,1.74,1.76,1.75,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,1.76,1.65,1.28,1.43,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.54,,
Lechuga *,1 Kilogramos,2.35,3.35,4.45,4.45,3.35,2.75,2.49,2.49,2.47,2.9,,2.49,2.49,2.49,,2.88,3.35,2.99,2.49,3.35,,2.35,3.35,2.49,2.49,2.88,2.9,3.35,,2.49,,2.49,2.49,2.47,2.86,2.9,2.9,2.2,2.49,2.9,2.9,3.35,2.49,2.49,2.47,2.47,2.5,3.35,3.04,,4.41,,4.08,3.31,3.31,,2.76,3.31,3.31,3.31,3.86,3.31,3.31,3.31,3.31,2.76,,2.2,,3.97,,2.2,,3.31,2.76,3.31,,2.62,1.96,4.41,3.31,,3.31,,,4.41,3.86,2.2,2.76,,
•ame Diamante *,1 Kilogramos,,0.88,0.88,0.88,0.88,,,0.78,,,,0.78,0.78,,,,0.88,0.78,,,0.78,,0.88,0.78,,0.88,,0.88,0.88,0.78,,,,,,,,0.88,0.78,,,0.88,,,,,0.85,0.88,,,,,0.88,,,,,,,0.88,0.88,,,0.86,,,,,0.88,,,,,,,0.88,,0.86,,0.88,0.77,,0.88,,,,0.88,,,,
