,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relleno,relleno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,XTRA  24 DICIEMBRE,XTRA PACORA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,MINISUPER EL VETERANO,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER-EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PARQUE LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO ,MINISUPER ECLIPSE,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,M/S CABALLEROS LOO,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,,,,,
Babilla (Carne de res de Primera) *,1 Kilogramos,,6.55,6.55,6.55,6.55,,,5.99,5.76,,6.52,,,,6.5,6.6,,,,6.55,5.99,,6.55,6.55,6.55,,6.35,6.55,6.55,6.55,,,,6.33,6.06,6.55,6.55,5.95,,6.49,6.55,,,6.55,,6.47,,6.55,,,,,,,,,,,6.55,,,,,,,,,,,,,,,,6.33,,,6.31,6.05,6.54,,,,6.33,,6.55,,,,,,,,
Bistec de Cinta *,1 Kilogramos,5.62,5.62,5.62,5.62,,,,5.62,5.55,5.62,5.6,5.62,5.62,5.62,4.83,4.83,5.62,,,5.62,4.93,5.62,5.62,5.62,,4.82,5.62,5.62,5.62,,5.62,,5.53,4.83,,5.62,5.62,,5.62,5.62,5.62,5.62,,4.99,5.53,4.83,5.34,5.62,5.62,,,,,,,,,,5.4,,,,,,,,,,,,,,,5.84,5.62,,,5.39,5.39,5.62,5.62,5.62,5.62,,,5.62,,5.4,,,,,,
Carne Molida de Primera *,1 Kilogramos,,,4.74,4.74,,,4.74,4.49,5.37,,,4.49,4.49,4.49,4.47,,,4.74,,2.98,4.49,,,4.74,4.74,4.58,,,,4.49,4.74,4.74,,,2.96,4.84,4.84,,4.74,,4.74,,4.74,4.49,,,2.98,2.99,,,,,,,,,,,,,,,4.74,,4.96,,,,,,,,,,4.74,,,4.07,4.6,4.73,,4.41,,4.74,,,,,,,,,,
Carne para Sopa (Costilla) *,1 Kilogramos,,,6.13,6.13,,,,,,,,4.45,4.79,4.45,3.49,,5.36,4.45,4.45,5.19,4.45,,5.19,,4.45,4.65,5.75,,5.19,,4.45,4.45,,4.33,4.63,4.3,4.3,,4.45,4.29,4.35,,4.79,4.45,,,4.35,,,,,,,,,,,,4.41,,,,,,,,,,,,,,,,4.96,,,,,,,3.86,,,,5.51,,,,,,,,
Puerco Liso *,1 Kilogramos,7.8,6.38,11.83,11.83,,,,,5.13,6.29,,5.75,5.75,,4.98,5.73,6.25,,,6.25,,7.8,6.25,,,5.29,5.59,6.25,6.25,,6.75,,5.73,,5.27,6.15,6.15,6.5,,5.98,6.05,6.5,5.75,,5.73,5.73,5.35,,,,,,,7.72,,,,,7.72,6.94,7.17,,7.72,,6.61,6.61,,,,,,7.17,,,6.5,,,5.83,4.95,,,,7.17,6.06,,6.61,,7.17,,,,,,
Pulpa Negra *,1 Kilogramos,8.89,7.25,,14.99,7.25,,7.69,7.69,7.55,7.95,7.56,7.69,7.69,7.69,7.53,7.54,7.25,7.69,7.69,7.25,7.69,8.89,7.25,7.69,7.69,6.75,7.75,7.25,7.25,7.69,7.69,7.69,7.22,,6.73,7.59,7.59,,7.69,7.39,7.39,,7.69,7.69,7.36,,6.75,7.25,7.69,,,,,8.49,8.82,,8.82,,8.82,,8.27,,8.6,7.72,7.94,8.27,,,7.72,8.38,8.16,7.72,8.71,,8.49,8.71,,7.15,6.58,8.26,8.71,8.6,8.71,8.49,,,,8.27,8.49,,,,,
Muslo de Pollo con Piel *,1 Kilogramos,3.83,,4.49,4.49,3.99,3.45,3.45,3.45,3.33,3.95,3.79,4.15,3.45,3.45,3.43,3.43,,3.45,3.45,3.99,,3.83,3.99,,3.45,3.48,3.69,3.99,3.99,3.45,3.55,,3.43,3.23,,3.75,3.75,3.99,3.45,3.95,3.95,3.99,3.45,3.45,3.43,3.43,3.89,3.99,3.45,,,,,,,,4.41,,3.86,,,,,,,,,,,,,,4.08,3.31,,,,3.28,3.06,4.19,4.08,3.09,,,,4.08,,,3.86,,,,,
Pechuga de Pollo con Piel *,1 Kilogramos,5.72,,4.54,4.54,3.08,3.43,3.69,3.43,3.29,3.09,3.39,3.86,2.75,3.43,3.37,3.37,3.08,3.43,3.43,3.08,,4.12,3.08,,3.69,3.05,3.15,3.09,3.08,3.43,3.43,3.43,3.29,2.85,2.85,3.35,3.35,3.08,3.45,3.08,3.39,3.08,3.43,3.43,3.29,3.29,3.05,3.08,3.45,,,,,3.86,3.86,,4.08,,3.86,3.31,3.86,,,,3.31,,,,,,4.08,3.86,4.08,3.31,,,,2.84,2.62,3.19,3.86,3.31,,3.09,,3.31,,3.2,2.98,,,,,
Pollo Entero s/plumas *,1 Kilogramos,,,2.73,2.73,2.3,2.49,2.34,2.34,2.28,2.29,2.19,2.34,2.34,2.34,1.91,2.03,,2.34,2.34,2.3,2.34,2.79,2.3,2.34,2.34,1.96,2.05,2.29,2.3,2.34,,2.34,2.28,1.96,1.94,2.25,2.25,2.3,2.25,2.09,2.09,2.3,2.19,2.34,2.07,1.95,2.15,2.3,2.34,,,,,2.6,2.6,,2.6,,2.54,2.2,2.54,,2.54,2.43,,2.6,,,2.6,2.31,2.6,2.6,2.6,2.2,2.01,2.54,,2.18,1.98,2.2,2.2,2.2,2.18,2.2,,1.94,2.43,2.2,2.31,,,,,
Pescado Corvina *,1 Kilogramos,,,,,,,,8.39,8.37,,,,,,,8.69,,,,,,,8.29,,,5.99,,,,,8.75,8.39,,6.73,5.97,7.75,7.75,,,6.75,,,,,8.69,,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36,,6.28,,,,,,,,,,,,,,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.68,0.74,0.77,0.77,0.69,0.44,0.41,0.44,0.67,0.65,0.65,0.44,0.44,0.44,0.47,0.65,0.59,0.41,0.44,0.45,0.41,0.65,0.69,0.44,0.44,0.38,,0.79,0.59,0.44,0.44,0.44,0.44,0.36,0.36,0.55,0.55,0.74,0.44,0.7,0.65,0.71,0.44,0.44,0.45,0.65,0.38,0.59,0.44,0.85,0.75,0.75,0.95,,0.65,0.75,0.65,0.75,0.85,0.85,0.55,0.75,0.75,0.75,0.75,0.55,0.8,,0.85,0.75,0.55,,0.76,0.55,0.5,0.65,,0.49,0.45,0.65,0.6,0.8,0.85,0.5,0.85,0.6,0.8,0.85,0.55,,,,,
Tuna en Agua *,142 Gramos,,1.25,1.05,1.05,,1.25,1.15,1.25,,1.27,1.15,1.15,1.15,1.15,1.52,1.18,,1.15,1.05,1.75,1.05,1.56,1.75,1.25,1.25,1.55,1.15,,1.75,1.15,1.15,1.15,1.13,1.23,1.13,1.15,1.15,1.25,1.15,1.57,1.09,1.25,1.2,1.25,1.02,1.14,1.55,1.2,1.15,,,,1.85,1.65,,1.85,1.65,1.68,,,1.5,,,1.55,,,1.65,1.45,,,1.75,1.75,,1.42,1.45,1.95,,1.15,1.12,1.55,1.45,,,1.35,1.5,,,,,,,,,
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,,7.94,,,,,5.49,7.47,7.56,,7.83,7.61,7.61,7.61,7.34,,7.94,7.61,5.49,7.94,5.49,7.47,,7.61,7.61,5.34,7.61,,7.94,7.61,7.61,5.49,7.76,7.25,7.76,7.83,7.83,,,,7.83,,7.47,7.61,,,5.34,7.94,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,8.4,8.4,,8.36,8.39,,8.31,,,4.96,8.36,8.36,8.33,,,8.36,4.96,5.71,4.96,,,,,8.09,,,,,,8.36,,8.07,,5.4,,,,,,,,,,,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.17,3.42,7.94,7.05,3.42,4.83,7.61,7.61,3.42,3.42,7.61,7.61,3.42,3.42,7.34,3.42,3.42,3.97,3.42,3.42,3.97,7.17,3.42,,,3.42,3.42,,3.42,3.42,3.42,3.42,6.79,3.42,3.42,7.61,7.61,8.14,,3.42,3.42,3.42,,,3.42,3.42,3.42,3.97,7.61,,,,,7.17,,,7.72,,,,7.39,,,,7.17,,,,,7.72,7.61,,,,7.72,,,3.42,3.42,,7.94,,,,,7.72,,,,,,,,
Arroz de Primera *,1 Kilogramos,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.87,0.88,,0.88,0.88,0.87,0.88,0.88,0.87,0.88,0.88,0.88,,,0.87,0.88,0.88,0.88,0.88,0.86,0.88,0.87,0.87,0.85,0.88,0.88,0.88,0.87,0.88,0.88,0.86,0.88,0.88,0.87,0.88,,,,,0.88,0.88,0.88,0.88,,,,0.88,,0.88,0.88,0.88,0.88,,,0.88,,0.88,0.88,,0.88,,0.88,,0.78,0.88,,0.88,0.88,0.88,0.88,0.88,,,0.88,0.88,,,,,
Codito *,454 Gramos,0.91,0.85,0.98,0.89,0.85,0.79,0.79,0.79,0.93,0.85,0.85,0.79,0.79,0.79,0.73,0.57,0.85,0.79,0.79,0.58,0.79,0.85,0.58,0.79,0.79,0.77,0.75,0.85,0.85,0.79,0.79,0.79,0.74,0.75,0.75,0.75,0.75,0.85,0.79,0.75,0.75,0.82,0.59,0.79,0.77,0.64,0.77,0.58,0.79,1,1,1,1,1,0.9,0.95,0.95,0.98,0.85,,0.85,1,0.85,0.9,0.85,0.85,0.85,1,0.85,,0.9,1,0.85,0.8,0.95,1,0.75,0.78,0.72,0.95,0.95,1,0.9,0.8,0.85,0.85,0.85,0.85,0.85,,,,,
Crema  de Ma°z *,300 Gramos,,0.65,0.63,0.63,0.65,0.65,0.6,0.6,0.59,,0.75,0.7,0.6,0.65,0.58,0.58,0.65,0.6,0.6,0.65,0.6,0.64,0.65,0.6,0.6,0.6,0.7,,0.65,0.65,0.7,0.6,0.69,0.58,0.59,0.6,0.6,0.65,0.65,0.7,0.6,0.55,,0.7,0.58,0.69,0.6,0.65,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.65,0.85,,,,,,,,,,,,,,
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,3.13,,2.43,2.43,2.1,1.79,1.99,1.99,1.98,,2.19,1.59,1.99,1.79,2.34,,2.1,1.59,1.59,2.1,1.79,3.05,1.95,1.99,1.99,3.09,,2.8,1.95,1.39,,1.59,,1.98,1.98,2.69,2.69,2.8,1.59,3,2.69,2.8,2.8,,2.78,,3.15,2.1,1.99,,,,,,,,3.75,,,,,,,2.85,,,,,,,,,,,,,,,2.99,,3.95,,,,,,,,3.55,,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.59,0.58,0.59,0.59,0.69,,0.58,0.58,0.55,0.65,0.65,0.63,0.63,0.58,0.52,0.53,0.69,0.63,0.58,0.59,0.58,0.59,0.58,0.58,0.58,0.56,0.65,0.69,0.59,0.58,0.58,0.63,0.57,0.5,0.5,0.58,0.58,0.8,0.63,0.65,0.65,0.58,0.58,0.63,0.55,0.55,0.56,0.58,0.58,1,,,1,,0.59,,,,0.8,,,0.59,0.85,0.59,0.59,0.59,0.59,0.59,0.59,0.85,0.59,0.59,,0.59,0.59,0.8,0.75,0.59,0.59,0.59,0.75,0.59,0.6,0.59,0.85,0.85,0.85,0.59,0.59,,,,,
Pan de Michita *,1 Kilogramos,,,,,,,2.45,,,,,,,,,,,2.45,,2.5,2.45,,2.5,,,,,,2.69,,,,,3,3,,,,,,3.95,2.5,,,3.75,,2.25,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,
Pan Molde *,500 Gramos,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.9,0.92,0.9,0.92,0.92,0.92,0.88,0.89,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.89,0.91,0.92,0.92,,0.92,,0.9,0.87,0.87,0.91,0.91,0.92,0.92,,0.91,0.92,0.92,0.92,0.9,0.9,0.89,0.92,,,,,,,0.92,,0.92,,,,,,,0.92,0.92,,,,,,,,,0.92,,0.92,0.92,,0.92,,0.92,0.92,0.92,,,0.92,,,,,,,,
Tortilla de Ma°z *,10 Unidades,1.1,1,1.45,1.45,,1.15,1.15,1.09,1.11,0.95,1.1,0.95,1.05,0.95,0.97,0.83,1.05,1.09,1.15,1,1.15,1.1,0.85,1.15,1.15,0.89,1.05,0.99,1,0.95,0.95,1.09,1.11,0.85,0.94,1.1,1.1,0.85,1.09,0.89,1.1,0.99,1.09,1.09,0.83,0.94,0.87,0.85,1.09,,1.12,,,1,1,1,1,,1,1,1,1.15,1,,1,1,,1,1,1.15,1,1,1,1,1,0.9,1,0.95,0.99,0.95,1,1,1,1,1,1,,1,1,,,,,
Aj° Dulce y/o picoloro *,1 Kilogramos,5.28,3.15,5.35,5.35,3.15,2.2,2.2,2.2,,,2.2,2.2,2.2,2.2,,2.18,3.15,2.2,2.2,3.15,2.2,2.65,3.25,2.2,2.2,2.09,1.92,3.15,3.15,2.2,2.2,2.2,,2.17,1.93,,2.29,3.15,2.2,2.21,2.21,2.42,2.2,3.49,2.18,,2.19,3.15,,3.31,2.76,,3.31,2.76,3.31,,2.76,2.2,2.2,2.2,2.76,,3.31,2.76,,2.76,,,1.65,2.76,3.31,1.76,,1.76,,,2.76,2.18,2.18,1.65,3.31,,2.2,,1.65,,,3.85,3.31,,,,,
Ajo *,1 Kilogramos,3.75,4.37,3.3,3.3,4.37,3,3,3,2.73,2.95,3,3,3,3,2.68,2.98,4.37,3,3,4.37,2.75,2.95,,3,,,2.92,4.37,4.37,3,3,3,2.98,2.73,2.92,3,2.86,4.25,2.99,3,3,4.37,3,3,2.98,2.98,,4.37,3,,,,,,,,,,,,,,,,,,,,,,,,,2.76,2.76,,,2.54,2.18,2.76,,,,,,,,4.41,,,,,,
Cebolla Amarilla *,1 Kilogramos,1.76,1.75,1.76,1.76,,1.76,1.76,1.76,,1.75,1.46,1.76,1.76,1.76,1.73,1.73,1.75,1.76,1.76,1.65,1.76,1.76,1.65,1.76,1.76,1.52,1.76,1.75,1.65,1.76,1.76,1.76,1.74,1.63,1.74,1.76,1.76,1.35,1.76,1.76,1.76,1.65,1.76,1.76,1.74,1.74,1.76,1.75,1.76,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.74,1.76,1.76,1.76,1.76,,1.76,,1.76,1.76,1.76,,,,,
Lechuga *,1 Kilogramos,3.67,3.8,4.45,4.45,,,2.99,1.92,2.19,2.75,2.75,2.99,2.99,2.99,2.2,2.2,3.8,2.99,2.19,3.8,3.04,1.75,3.8,2.99,2.99,2.26,,,3.8,2.99,2.99,2.99,,1.97,2.27,2.99,2.75,3.3,3.04,2.75,2.75,4.15,2.98,2.99,2.2,2.2,2.25,3.8,,3.31,3.86,,3.31,2.76,3.31,2.2,2.76,3.31,2.76,3.31,,,3.31,2.76,3.31,2.76,,,,3.31,3.31,,3.86,3.31,2.76,3.31,3.31,2.5,2.97,2.75,3.86,2.76,3.31,,,,3.86,2.76,3.86,,,,,
